in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
6,3,3,10,14,3241.018041,1684,1684,1099,1099,632,632,22.411875,19.374913
7,3,3,10,14,3386.432336,1647,1647,1071,1071,621,621,22.608661,19.160257
4,0,-2,14,14,3163.565399,2191,2191,1511,1511,824,824,22.119536,20.972862
5,0,-2,14,14,3285.373883,1987,1987,1336,1336,826,826,23.76879,22.370619
6,0,-2,14,14,3470.378154,1894,1894,1252,1252,807,807,23.401865,21.718693
7,0,-2,14,14,3637.62656,1831,1831,1200,1200,805,805,23.220645,21.277731
8,0,-2,14,14,3791.414721,1774,1774,1153,1153,777,777,23.056838,20.883467
4,1,-2,14,14,3128.677613,2180,2180,1503,1503,834,834,23.261017,22.172963
5,1,-2,14,14,3316.203595,1991,1991,1339,1339,820,820,23.667903,22.320357
6,1,-2,14,14,3484.142778,1893,1893,1250,1250,810,810,23.341912,21.716359
7,1,-2,14,14,3673.567082,1826,1826,1196,1196,794,794,23.041723,21.20263
8,1,-2,14,14,3807.522948,1775,1775,1154,1154,779,779,22.965868,20.879682
4,2,-2,14,14,3097.698326,2135,2135,1461,1461,830,830,23.405929,22.171455
5,2,-2,14,14,3285.31346,1960,1960,1309,1309,810,810,23.696867,22.176963
6,2,-2,14,14,3458.212437,1871,1871,1230,1230,797,797,23.354777,21.547799
7,2,-2,14,14,3620.130609,1808,1808,1176,1176,786,786,23.126579,21.070969
8,2,-2,14,14,3784.496729,1758,1758,1138,1138,765,765,23.083798,20.775816
4,3,-2,14,14,3124.445938,2135,2135,1462,1462,819,819,23.181179,21.961109
5,3,-2,14,14,3270.342244,1956,1956,1307,1307,810,810,23.595393,22.084776
6,3,-2,14,14,3444.787671,1870,1870,1230,1230,800,800,23.276422,21.512656
7,3,-2,14,14,3634.715809,1802,1802,1175,1175,773,773,23.064386,21.021738
8,3,-2,14,14,3789.907072,1753,1753,1138,1138,756,756,22.955817,20.669957
4,0,-1,14,14,3015.350132,2141,2141,1480,1480,797,797,23.195469,21.863573
5,0,-1,14,14,3217.349388,1942,1942,1306,1306,770,770,23.464062,21.806611
6,0,-1,14,14,3379.372933,1851,1851,1219,1219,756,756,23.065645,21.16914
7,0,-1,14,14,3587.16984,1791,1791,1173,1173,737,737,22.787157,20.613935
8,0,-1,14,14,3735.979937,1747,1747,1140,1140,726,726,22.806322,20.394514
4,1,-1,14,14,3058.798729,2168,2168,1501,1501,808,808,23.142175,21.866528
5,1,-1,14,14,3220.362299,1958,1958,1318,1318,790,790,23.670997,22.081747
6,1,-1,14,14,3397.750379,1867,1867,1235,1235,775,775,23.242339,21.405614
7,1,-1,14,14,3591.237765,1801,1801,1179,1179,753,753,22.940754,20.838438
8,1,-1,14,14,3741.086194,1757,1757,1144,1144,744,744,22.91924,20.556264
4,2,-1,14,14,3025.510958,2108,2108,1451,1451,782,782,23.078323,21.741604
5,2,-1,14,14,3201.885429,1925,1925,1289,1289,764,764,23.329648,21.653681
6,2,-1,14,14,3379.960894,1838,1838,1207,1207,749,749,22.951956,21.02462
7,2,-1,14,14,3569.466628,1779,1779,1161,1161,726,726,22.741626,20.577811
8,2,-1,14,14,3718.422946,1726,1726,1119,1119,706,706,22.759134,20.327877
4,3,-1,14,14,3025.837574,2094,2094,1431,1431,780,780,23.015844,21.568224
5,3,-1,14,14,3206.132747,1917,1917,1279,1279,767,767,23.484638,21.699314
6,3,-1,14,14,3359.81159,1840,1840,1209,1209,762,762,23.28548,21.213649
7,3,-1,14,14,3547.121277,1780,1780,1159,1159,739,739,23.066224,20.765004
8,3,-1,14,14,3691.789054,1732,1732,1122,1122,720,720,23.003026,20.436906
4,0,0,14,14,2994.879952,2111,2111,1467,1467,741,741,22.560158,21.264084
5,0,0,14,14,3213.161719,1928,1928,1299,1299,712,712,22.771225,21.16094
6,0,0,14,14,3396.194983,1845,1845,1222,1222,700,700,22.468928,20.607641
7,0,0,14,14,3575.442445,1772,1772,1168,1168,674,674,22.322794,20.194206
